id,Title,Company,Location,Salary,Description
1047,Sales Engineer,PubNub,"Remote in Bengaluru, Karnataka","₹25,00,000 - ₹35,00,000 a year","PubNub runs a globally distributed ""Data Stream Network"", a cloud service that developers use to build and scale large real-time apps."
1048,Global IT Security Engineer Manager,Boston Consulting Group,"New Delhi, Delhi",,As a senior member of the Squad within the cloud and platform engineering product portfolio you will report to the chapter lead for infrastructure and work…
1049,Back-End Software Engineer,Deloitte,"Bengaluru, Karnataka",,"Proficient in troubleshooting, diagnosing and solve problems through browser-based developer tools.We combine highly specialized skills in discovery and data…"
4,Full Stack Development - Sr. Technology Associate / Specialist,Colgate-Palmolive,"Mumbai, Maharashtra",,"Together, you’ll use a disciplined, innovative and a business focused approach to develop a wide variety of high-quality products and solutions."
5,"Engineer Sr., Software (Backend)",Giant Eagle GCC,Karnataka,,"7+ years’ experience as a software engineer/programmer / developer.As a Senior Software Engineer, you will determine programming requirements for systems."
6,Python Developer Intern,Rivan Solutions,"Remote in Hyderabad, Telangana",,Scraping websites using Python and BeautifulSoup/Scrapy or Selenium.Delivering the web scraping script within 6 to 7 hours.Storing data into SQL and NoSQL.
7,Python Developer,Beckon Delve Infotech Pvt Ltd,Remote in Remote,"₹30,000 - ₹80,000 a month","- Designing, coding, testing, and debugging Python applications based on project requirements and specifications.*."
8,ETL-PowerBI-Python-snowflakes developer,Tech Turmeric IT Services,"Remote in Madhapur, Hyderabad, Telangana","₹8,00,000 - ₹15,00,000 a year","The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up, support…"
9,Junior Python Developer,INFOSWAN GROUP,"Hyderabad, Telangana","₹8,707 - ₹40,370 a month",Collaborate with senior developers and cross-functional teams to gather requirements and understand project objectives.Total work: 1 year (Preferred).
10,Python Developer (Jobid-180523),knowledge Sprint Technologies,"Hyderabad, Telangana","₹3,00,000 - ₹6,00,000 a year","Write clean, efficient, and well-documented code in Python.Collaborate with cross-functional teams to design, develop, and maintain software applications."
11,AVP - Python Developer – Quant Dev,HSBC,"Bengaluru, Karnataka",,"Building a first class python ecosystem of libraries, infrastructure, SDLC automation, documentation and tools to speed application delivery."
12,Python Developer,Wama Technology Pvt Ltd,"Mumbai, Maharashtra","₹50,000 - ₹90,000 a month",3+ years of experience as a Python developer (rare exceptions for highly skilled developers).Minimum 2 Years experience required in Flask.
13,Python (Programming Language) Application Developer,Accenture,"Hyderabad, Telangana+3 locations",,Technical Experience : A Must to have: Python programming language B Good to have: Tornado and React or Angular or Vue C Good to have: Javascript.
14,Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
15,Python/Odoo Developer,RDP Workstations,"Hyderabad, Telangana","₹3,00,000 - ₹5,00,000 a year","Should have strong knowledge on python programming.Collaborating with other developers, project managers, and stakeholders to ensure the successful delivery of…"
16,Python/java Developer,mindcraft Software Pvt Ltd,"Remote in Hyderabad, Telangana","₹5,27,796 - ₹7,77,086 a year","Knowledge on Core Java, JSP, Servlets, AJAX, JavaScript, Struts, JSF, Design Patterns, Spring MVC framework, Hibernate.Total work: 1 year (Preferred)."
17,Python Developer,BigShyft,"Gurgaon, Haryana+5 locations",,"Integration of front-end developer-created user-facing components with server-side.Write code that is reusable, testable, and efficient."
18,Python/Django Developer,Quicktouch Technologies,"Remote in Delhi, Delhi","₹3,62,305 - ₹13,62,551 a year","The candidate should be an expert python (2.x/3.x) programming with a very good understanding of the following modules: re (regular expressions), urllib,…"
19,Junior Python Developer,Infiniti Codes private limited,"Chennai, Tamil Nadu","₹5,00,000 - ₹9,00,000 a year",Program using Python and Scala Skills / Capabilities Any/All of the following are ideal.Ability to analyse Scala code and experience in Spark technology.
20,Python/Django Developer,Nimbusnext,"Remote in Pune, Maharashtra","₹2,09,404 - ₹8,10,981 a year",Experience and expertise in developing Python-based data/business-centric applications is a must.*.Expertise in relevant frameworks for building Python-based…
21,Python Full Stack Developer,Mouri Tech,"Hyderabad, Telangana",,"Sound knowledge of B/E technology stack such as Python/Node.JS/Ruby/Java.Practical understanding of HTML, CSS, and JavaScript."
22,Python Developer,edutinker,Remote in Remote,"Up to ₹10,00,000 a year",Integration of user-facing elements developed by front-end developers with server-side logic.We are looking for a Python Web Developer responsible for managing…
23,Full Stack Developer - Software Developer,HomeShiksha,"Remote in Hyderabad, Telangana","₹3,00,000 - ₹6,00,000 a year","As a Software Developer, you will play a crucial role in developing innovative and user-friendly web and APP applications using ReactJS, Node.js, JavaScript,…"
24,Senior Backend Developer - Python/Django,BigShyft,"Mumbai, Maharashtra","₹18,00,000 - ₹27,50,000 a year","Collaborate with cross-functional teams including product managers, designers, and frontend developers to understand project requirements and translate them…"
25,Python Developer Intern,CodeRize Technologies Pvt Ltd,"Pune, Maharashtra","₹5,000 - ₹7,000 a month","Should have master’s degree BCA, MCA, MCS , BE , ME.Basic Understanding of Object Oriented Programming.Knowledge of Django, Flask or similar Python frameworks…"
26,Python Developer,Episeio business solutions,"Andheri, Mumbai, Maharashtra","₹10,00,000 - ₹20,00,000 a year","O Experience in RESTful Web services development.O Expert in Python, Flask and Microservices.Andheri, Mumbai, Maharashtra: Reliably commute or planning to…"
27,Python Developer,Husys,"Hyderabad, Telangana","₹5,00,000 - ₹7,00,000 a year","Python web developers usually develop back-end components, connect the application with the other (often third-party) web services, and support the front-end…"
28,Python Developer,datanomist,"Hyderabad, Telangana",,"Integration of user-facing elements developed by front-end developers with server side logic.Writing reusable, testable, and efficient code."
29,Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
30,Senior Python Developer,Henote Technologies and consulting solutions,"Remote in Hyderabad, Telangana","₹3,30,584 - ₹14,82,080 a year","Work closely with front-end developers to integrate user-facing elements with server-side logic.As a Python Developer, you will be responsible for designing,…"
31,Python/Django Developer,Dot eVentures Pvt Ltd,"Hyderabad, Telangana","₹20,000 - ₹40,000 a month",We are looking for a Python Developer to build functional and efficient server-side applications.Help design and implement functional requirements.
32,Robotics Process Automation – Python Automation Developer,UBS,"Hyderabad, Telangana",,Partner and collaborate with Operations experts and IT teams across the organization to deliver robotic process automation solutions in a dynamic environment.
33,Senior Python Developer - Django,BigShyft,"Remote in Pune, Maharashtra","₹12,00,000 - ₹17,00,000 a year","With a blend of experts with a proven track record, our web designers, mobile engineers, software developers, graphic designers, software testers, and business…"
34,Python Developer,BNP Paribas,"Mumbai, Maharashtra",,"We partner various business lines of BNP Paribas such as Corporate and Institutional Banking, Wealth Management, Retail Banking through three verticals -…"
35,Junior Python Developer,Wisdomleaf Technologies (P) Limited,India,"₹3,00,000 - ₹4,00,000 a year",: Experience : 1+ year(s) of work experience We are looking for a developer to maintain and further develop our Cloud-based SAAS Web Applications.
36,Python Developer,Albireo Tech System,Remote in Remote,"₹1,000 a day","Time- 2 hrs a day.Job Types: Part-time, Freelance.Part-time hours: 14 per week.Total work: 5 years (Required)."
37,Python Developer,Mobile Programming India Pvt. Ltd.,"Bengaluru, Karnataka","₹4,38,858 - ₹17,35,677 a year",We are seeking a skilled and motivated Python Developer with a strong background in Python programming and hands-on experience in integrating with SQL databases…
38,Python Developer,TIES,"Pune, Maharashtra","₹3,00,000 - ₹6,00,000 a year","Experience :- 2 to 3 years.Qualification:- BE/MCA/BCA or Equivalent.Expertise in at least one popular Python framework (like Django, Flask or Pyramid)."
39,Contract Python Developer - - Remote - Indian Timezone,Flipkoins,Remote,,"Job Type - Short term Contractual, Full-Time.Duration - Minimum 6 months, might extend based on the performance.Python- Django, REST APIs, FLASK, HTML, CSS."
40,Python Backend Developer,BigShyft,"Bengaluru, Karnataka","₹25,00,000 - ₹30,00,000 a year","In-depth and experience programming in programming languages such as Python,.Thorough understanding and experience in cloud computing systems."
41,Python Django Developer,Accubits Technologies,Remote in Remote,"Up to ₹14,00,000 a year","We are looking to recruit experienced Python Developers (3+ years) who have good Knowledge and experience in Django, Rest API and MySQL."
42,Python Developer,hireskills,"Kochi, Kerala","Up to ₹12,00,000 a year",Understanding and translating customer requirements to technical specifications.Modeling REST APIs and writing effective and scalable Python codes.
43,Python Developer,MyGenomeBox India Private Limited,"Pune, Maharashtra","₹6,00,000 - ₹12,00,000 a year","Computer Vision (medical kit image capture) & Image processing/color correction - OpenCV, Scikit-learn, Scikit-image.Data manipulation using pandas and Numpy."
44,Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
45,Python/Django Developer,Conversionz Digital Marketing Pvt. Ltd.,"Bengaluru, Karnataka","₹30,000 - ₹35,000 a month",We are looking for a Python Web Developer responsible for managing the interchange of data between the server and the users.Total work: 1 year (Preferred).
46,python Developer,Code Connex,"Gachibowli, Hyderabad, Telangana",,"Code, teste and operate python based services.Services using Agile development methods.Build customer-facing UI and back-end services for."
47,Fullstack Developer-Python (Remote),Indus Net Technologies,+1 locationRemote,,At least 3+ years of software development experience using Python and AWS Lambda (rare exceptions for highly skilled developers).
48,Senior Backend Developer- Python,Revolo InfoTech,Remote in Remote,"₹85,000 - ₹95,000 a month","Frontend developers to understand project requirements and translate them into.Lead and mentor a team of developers, providing technical guidance and support."
49,Python Developer Intern,XpertsTim IT Services Pvt Ltd,"Pune, Maharashtra",,"Work closely with senior developers to learn and grow as a Python developer.Ltd. In this role, you'll collaborate with our experienced developers to design,…"
50,Python Developer,"Lenze - Software R&D Center, India","Pune, Maharashtra","Up to ₹20,00,000 a year",Experience: 4 to 8 years.Hands-on experience of writing scripts using Python and good debugging skills.Experience using OOP in Python.
51,Python Developer,Nisum,"Hyderabad, Telangana",,Work Type: Full Time / Contract.Design & build backend components of our MLOps platform on AWS.Collaborate with geographically distributed cross-functional…
52,Python Developer (WFH),Webyops Inc,"Remote in Vadodara, Gujarat","₹3,00,000 - ₹10,00,000 a year","Python developer: 2 years (Preferred).Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with…"
53,Python developer,Talent Basket,Remote in Remote,"Up to ₹18,00,000 a year","Looking for candidates who have experience in Python and Oops.Job Types: Full-time, Regular / Permanent.Pay: Up to ₹1,800,000.00 per year."
54,Sr. Python Developer,optimhire inc.,Remote in Remote,"₹15,00,000 - ₹40,00,000 a year",Write Python / Java Microservice in GCP/AWS Backend Eng.Experience of building highly scalable and reliable products in the cloud.
55,Python/Django Developer,Markytics,"Mumbai, Maharashtra","₹3,00,000 - ₹4,50,000 a year",Developing the backend and front end for developing a data science platform on Django.Building machine learning and artificial intelligence algorithms.
56,Software Developer Work From Home,MFine,Remote in Maharashtra,"₹19,800 - ₹43,000 a month","Participate in code reviews and provide feedback to other developers.Design, develop, and maintain high-quality software code."
57,Artificial Intelligence Developer,Leads To Company,"Remote in Mumbai, Maharashtra","₹1,60,125 - ₹7,05,701 a year","Experience: *Min 3 + year required , experience in Social media app like Snapchat and filter creation experience mandatory."
58,Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
59,Python Flask Developer,Starlly Solutions Private Limited,"Bengaluru, Karnataka","₹12,00,000 - ₹19,00,000 a year","Collaborating with frontend developers, UX designers, and product managers to deliver cohesive user experiences.Total work: 4 years (Required)."
60,Python Developer,ClientServer Technology Solutions LLC,"Medchal, Andhra Pradesh+1 location","₹7,00,000 - ₹7,50,000 a year",Python developer with Angular and React JS 2-4yrs experience.Hands-on experience with demonstrated capability in Restful API Design and development using…
61,Python/Django Developer,Cariva Technologies,"Bengaluru, Karnataka","₹80,000 - ₹1,30,000 a month","Work experience as a Python Developer.Expertise in at least one popular Python framework (like Django, Flask or Pyramid)."
62,Python Developer TL,BigShyft,"Delhi, Delhi","₹25,00,000 - ₹35,00,000 a year","Develop backend processes in Django, Django REST Framework that communicate through established REST APIs.Write documentation as new features and functionality…"
63,Junior Python Developer,Samta.ai,"Noida, Uttar Pradesh","₹8,703 - ₹40,242 a month",Work together with team of developers to come up with suitable solutions.Proven work experience in developing Django web-based products with REST API.
64,Python Developer,HappLabs Software LLP,"Bengaluru, Karnataka","₹4,00,000 - ₹15,00,000 a year",We have an opening for Python Developer.Please find the details below.We are looking for a Python Developer responsible for managing the interchange of data.
65,Python SQL Developer,Virtusa,Hybrid remote in Andhra Pradesh,,Role / Tier: - Associate Consultant- QA /Tier 3.2 - 5 years of experience in software development ideally involving analytics/ statistics/.
66,Junior Python Engineer,Allied Media,"Remote in Bihar, Uttar Pradesh","₹2,40,000 - ₹2,46,000 a year",To achieve use case developer might need to write Python or other scripts.We are looking for freshers as Developers who will be responsible for creating BAAR …
67,Python/Django Developer,MobileFirst Applications,Remote in Remote,"From ₹3,00,000 a year",Integration of user-facing elements developed by Backend developer.MobileFirst is a Product Development and Consulting Studio established in 2014.
68,Python Developer,Varishtha Infotech,"Bengaluru, Karnataka","Up to ₹28,00,000 a year","Experience: 3-4 Years | CTC: Upto 22 LPA.Experience: 5-7 Years | CTC: Upto 28 LPA.Notice period: Immediate to 30days.Location: Bangalore, Work from Office."
69,Jr. Python Developer,Scintillate Alliance Private Limited,"Bengaluru, Karnataka","₹8,678 - ₹39,893 a month",Are you a skilled Python Developer looking for an exciting opportunity?Look no further! is seeking a talented and passionate Python Developer to join our…
70,Web Developer,the internspire,"Remote in Mumbai, Maharashtra","₹10,000 - ₹30,000 a month","We are seeking a talented and motivated Web Developer to join our team.As a Web Developer, you will be responsible for designing, coding, and modifying…"
71,Python Developer Intern,Inmakes Infotech Pvt.Ltd,"Thiruvananthapuram, Kerala+1 location","₹15,000 - ₹25,000 a month","Python Intern at Inmakes Infotech Pvt Ltd.Salary: ₹15,000.00 - ₹25,000.00 per month.Thiruvananthapuram, Kerala: Reliably commute or willing to relocate with…"
