Title,Company,Location,Salary,Description
Sales Engineer,PubNub,"Remote in Bengaluru, Karnataka","₹25,00,000 - ₹35,00,000 a year","PubNub runs a globally distributed ""Data Stream Network"", a cloud service that developers use to build and scale large real-time apps."
Global IT Security Engineer Manager,Boston Consulting Group,"New Delhi, Delhi",None,As a senior member of the Squad within the cloud and platform engineering product portfolio you will report to the chapter lead for infrastructure and work…
Back-End Software Engineer,Deloitte,"Bengaluru, Karnataka",None,"Proficient in troubleshooting, diagnosing and solve problems through browser-based developer tools.We combine highly specialized skills in discovery and data…"
Full Stack Development - Sr. Technology Associate / Specialist,Colgate-Palmolive,"Mumbai, Maharashtra",None,"Together, you’ll use a disciplined, innovative and a business focused approach to develop a wide variety of high-quality products and solutions."
"Engineer Sr., Software (Backend)",Giant Eagle GCC,Karnataka,None,"7+ years’ experience as a software engineer/programmer / developer.As a Senior Software Engineer, you will determine programming requirements for systems."
Python Developer Intern,Rivan Solutions,"Remote in Hyderabad, Telangana",None,Scraping websites using Python and BeautifulSoup/Scrapy or Selenium.Delivering the web scraping script within 6 to 7 hours.Storing data into SQL and NoSQL.
Python Developer,Beckon Delve Infotech Pvt Ltd,Remote in Remote,"₹30,000 - ₹80,000 a month","- Designing, coding, testing, and debugging Python applications based on project requirements and specifications.*."
ETL-PowerBI-Python-snowflakes developer,Tech Turmeric IT Services,"Remote in Madhapur, Hyderabad, Telangana","₹8,00,000 - ₹15,00,000 a year","The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up, support…"
Junior Python Developer,INFOSWAN GROUP,"Hyderabad, Telangana","₹8,707 - ₹40,370 a month",Collaborate with senior developers and cross-functional teams to gather requirements and understand project objectives.Total work: 1 year (Preferred).
Python Developer (Jobid-180523),knowledge Sprint Technologies,"Hyderabad, Telangana","₹3,00,000 - ₹6,00,000 a year","Write clean, efficient, and well-documented code in Python.Collaborate with cross-functional teams to design, develop, and maintain software applications."
AVP - Python Developer – Quant Dev,HSBC,"Bengaluru, Karnataka",None,"Building a first class python ecosystem of libraries, infrastructure, SDLC automation, documentation and tools to speed application delivery."
Python Developer,Wama Technology Pvt Ltd,"Mumbai, Maharashtra","₹50,000 - ₹90,000 a month",3+ years of experience as a Python developer (rare exceptions for highly skilled developers).Minimum 2 Years experience required in Flask.
Python (Programming Language) Application Developer,Accenture,"Hyderabad, Telangana+3 locations",None,Technical Experience : A Must to have: Python programming language B Good to have: Tornado and React or Angular or Vue C Good to have: Javascript.
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Python/Odoo Developer,RDP Workstations,"Hyderabad, Telangana","₹3,00,000 - ₹5,00,000 a year","Should have strong knowledge on python programming.Collaborating with other developers, project managers, and stakeholders to ensure the successful delivery of…"
Python/java Developer,mindcraft Software Pvt Ltd,"Remote in Hyderabad, Telangana","₹5,27,796 - ₹7,77,086 a year","Knowledge on Core Java, JSP, Servlets, AJAX, JavaScript, Struts, JSF, Design Patterns, Spring MVC framework, Hibernate.Total work: 1 year (Preferred)."
Python Developer,BigShyft,"Gurgaon, Haryana+5 locations",None,"Integration of front-end developer-created user-facing components with server-side.Write code that is reusable, testable, and efficient."
